,0,1,2,3,4
87,18446744073709572815,5534644,1706251187,1706251187,18446744073709572815
88,18446744073709572814,5542100,1706247551,1706247551,18446744073709572814
89,18446744073709572813,5542387,1706243927,1706243927,18446744073709572813
90,18446744073709572812,5541875,1706240291,1706240291,18446744073709572812
91,18446744073709572811,5558392,1706236655,1706236655,18446744073709572811
92,18446744073709572810,5556081,1706233031,1706233031,18446744073709572810
93,18446744073709572809,5547318,1706229395,1706229395,18446744073709572809
94,18446744073709572808,5556485,1706225771,1706225771,18446744073709572808
95,18446744073709572807,5544066,1706222159,1706222159,18446744073709572807
96,18446744073709572806,5571976,1706218895,1706218895,18446744073709572806
97,18446744073709572805,5574356,1706215259,1706215259,18446744073709572805
98,18446744073709572804,5546283,1706212979,1706212979,18446744073709572804
99,18446744073709572803,5554202,1706209367,1706209367,18446744073709572803
100,18446744073709572802,5537187,1706205743,1706205743,18446744073709572802
101,18446744073709572801,5508753,1706203067,1706203067,18446744073709572801
102,18446744073709572800,5500673,1706199443,1706199443,18446744073709572800
103,18446744073709572799,5521860,1706195819,1706195819,18446744073709572799
104,18446744073709572798,5523098,1706192183,1706192183,18446744073709572798
105,18446744073709572797,5537282,1706188559,1706188559,18446744073709572797
106,18446744073709572796,5547421,1706184947,1706184947,18446744073709572796
107,18446744073709572795,5570492,1706181323,1706181323,18446744073709572795
108,18446744073709572794,5554773,1706177687,1706177687,18446744073709572794
109,18446744073709572793,5554320,1706174063,1706174063,18446744073709572793
110,18446744073709572792,5553589,1706170451,1706170451,18446744073709572792
111,18446744073709572791,5553477,1706166827,1706166827,18446744073709572791
112,18446744073709572790,5544308,1706163191,1706163191,18446744073709572790
113,18446744073709572789,5537095,1706159567,1706159567,18446744073709572789
114,18446744073709572788,5542183,1706155931,1706155931,18446744073709572788
115,18446744073709572787,5537546,1706152295,1706152295,18446744073709572787
116,18446744073709572786,5537240,1706148683,1706148683,18446744073709572786
117,18446744073709572785,5556521,1706145059,1706145059,18446744073709572785
118,18446744073709572784,5571050,1706141435,1706141435,18446744073709572784
119,18446744073709572783,5569849,1706137799,1706137799,18446744073709572783
120,18446744073709572782,5566795,1706134175,1706134175,18446744073709572782
121,18446744073709572781,5560517,1706130563,1706130563,18446744073709572781
122,18446744073709572780,5562446,1706126963,1706126963,18446744073709572780
123,18446744073709572779,5569747,1706123339,1706123339,18446744073709572779
124,18446744073709572778,5561350,1706119703,1706119703,18446744073709572778
125,18446744073709572777,5582360,1706116079,1706116079,18446744073709572777
126,18446744073709572776,5575113,1706112443,1706112443,18446744073709572776
127,18446744073709572775,5581917,1706108807,1706108807,18446744073709572775
128,18446744073709572774,5571869,1706105183,1706105183,18446744073709572774
129,18446744073709572773,5583758,1706101571,1706101571,18446744073709572773
130,18446744073709572772,5581114,1706097947,1706097947,18446744073709572772
131,18446744073709572771,5587962,1706094311,1706094311,18446744073709572771
132,18446744073709572770,5590503,1706090687,1706090687,18446744073709572770
133,18446744073709572769,5597159,1706087051,1706087051,18446744073709572769
134,18446744073709572768,5590000,1706083415,1706083415,18446744073709572768
135,18446744073709572767,5592464,1706079791,1706079791,18446744073709572767
136,18446744073709572766,5598020,1706076179,1706076179,18446744073709572766
137,18446744073709572765,5587550,1706072555,1706072555,18446744073709572765
138,18446744073709572764,5587999,1706068919,1706068919,18446744073709572764
139,18446744073709572763,5592528,1706065295,1706065295,18446744073709572763
140,18446744073709572762,5590570,1706061683,1706061683,18446744073709572762
141,18446744073709572761,5586935,1706058059,1706058059,18446744073709572761
142,18446744073709572760,5616210,1706055143,1706055143,18446744073709572760
143,18446744073709572759,5637845,1706051531,1706051531,18446744073709572759
144,18446744073709572758,5633281,1706047907,1706047907,18446744073709572758
145,18446744073709572757,5604845,1706045027,1706045027,18446744073709572757
146,18446744073709572756,5593643,1706041403,1706041403,18446744073709572756
